X,Y,PolygonID,CountryCode,BorderType
248.0,53.0,1,4,Exterior
247.0,53.0,1,4,Exterior
246.0,53.0,1,4,Exterior
245.0,53.0,1,4,Exterior
245.0,54.0,1,4,Exterior
244.0,54.0,1,4,Exterior
243.0,54.0,1,4,Exterior
243.0,55.0,1,4,Exterior
242.0,55.0,1,4,Exterior
242.0,54.0,1,4,Exterior
241.0,54.0,1,4,Exterior
241.0,55.0,1,4,Exterior
241.0,56.0,1,4,Exterior
241.0,57.0,1,4,Exterior
241.0,58.0,1,4,Exterior
241.0,59.0,1,4,Exterior
241.0,60.0,1,4,Exterior
242.0,60.0,1,4,Exterior
242.0,61.0,1,4,Exterior
243.0,61.0,1,4,Exterior
244.0,61.0,1,4,Exterior
244.0,60.0,1,4,Exterior
245.0,60.0,1,4,Exterior
246.0,60.0,1,4,Exterior
246.0,59.0,1,4,Exterior
247.0,59.0,1,4,Exterior
248.0,59.0,1,4,Exterior
248.0,58.0,1,4,Exterior
249.0,58.0,1,4,Exterior
249.0,57.0,1,4,Exterior
250.0,57.0,1,4,Exterior
250.0,56.0,1,4,Exterior
251.0,56.0,1,4,Exterior
251.0,55.0,1,4,Exterior
252.0,55.0,1,4,Exterior
252.0,54.0,1,4,Exterior
252.0,53.0,1,4,Exterior
251.0,53.0,1,4,Exterior
251.0,52.0,1,4,Exterior
250.0,52.0,1,4,Exterior
250.0,53.0,1,4,Exterior
249.0,53.0,1,4,Exterior
248.0,53.0,1,4,Exterior
199.0,49.0,2,8,Exterior
199.0,50.0,2,8,Exterior
200.0,50.0,2,8,Exterior
201.0,50.0,2,8,Exterior
201.0,49.0,2,8,Exterior
201.0,48.0,2,8,Exterior
200.0,48.0,2,8,Exterior
199.0,48.0,2,8,Exterior
199.0,49.0,2,8,Exterior
182.0,53.0,3,12,Exterior
181.0,53.0,3,12,Exterior
180.0,53.0,3,12,Exterior
180.0,54.0,3,12,Exterior
179.0,54.0,3,12,Exterior
178.0,54.0,3,12,Exterior
178.0,55.0,3,12,Exterior
178.0,56.0,3,12,Exterior
178.0,57.0,3,12,Exterior
179.0,57.0,3,12,Exterior
179.0,58.0,3,12,Exterior
178.0,58.0,3,12,Exterior
177.0,58.0,3,12,Exterior
177.0,59.0,3,12,Exterior
176.0,59.0,3,12,Exterior
176.0,60.0,3,12,Exterior
175.0,60.0,3,12,Exterior
174.0,60.0,3,12,Exterior
173.0,60.0,3,12,Exterior
173.0,61.0,3,12,Exterior
172.0,61.0,3,12,Exterior
171.0,61.0,3,12,Exterior
171.0,62.0,3,12,Exterior
171.0,63.0,3,12,Exterior
172.0,63.0,3,12,Exterior
173.0,63.0,3,12,Exterior
173.0,64.0,3,12,Exterior
174.0,64.0,3,12,Exterior
174.0,65.0,3,12,Exterior
175.0,65.0,3,12,Exterior
176.0,65.0,3,12,Exterior
176.0,66.0,3,12,Exterior
177.0,66.0,3,12,Exterior
178.0,66.0,3,12,Exterior
178.0,67.0,3,12,Exterior
179.0,67.0,3,12,Exterior
179.0,68.0,3,12,Exterior
180.0,68.0,3,12,Exterior
181.0,68.0,3,12,Exterior
181.0,69.0,3,12,Exterior
182.0,69.0,3,12,Exterior
182.0,70.0,3,12,Exterior
183.0,70.0,3,12,Exterior
183.0,71.0,3,12,Exterior
184.0,71.0,3,12,Exterior
185.0,71.0,3,12,Exterior
186.0,71.0,3,12,Exterior
186.0,70.0,3,12,Exterior
187.0,70.0,3,12,Exterior
187.0,69.0,3,12,Exterior
188.0,69.0,3,12,Exterior
189.0,69.0,3,12,Exterior
189.0,68.0,3,12,Exterior
190.0,68.0,3,12,Exterior
190.0,67.0,3,12,Exterior
191.0,67.0,3,12,Exterior
192.0,67.0,3,12,Exterior
192.0,66.0,3,12,Exterior
191.0,66.0,3,12,Exterior
191.0,65.0,3,12,Exterior
190.0,65.0,3,12,Exterior
190.0,64.0,3,12,Exterior
190.0,63.0,3,12,Exterior
190.0,62.0,3,12,Exterior
190.0,61.0,3,12,Exterior
190.0,60.0,3,12,Exterior
190.0,59.0,3,12,Exterior
189.0,59.0,3,12,Exterior
189.0,58.0,3,12,Exterior
189.0,57.0,3,12,Exterior
188.0,57.0,3,12,Exterior
188.0,56.0,3,12,Exterior
188.0,55.0,3,12,Exterior
188.0,54.0,3,12,Exterior
188.0,53.0,3,12,Exterior
188.0,52.0,3,12,Exterior
187.0,52.0,3,12,Exterior
186.0,52.0,3,12,Exterior
186.0,53.0,3,12,Exterior
185.0,53.0,3,12,Exterior
184.0,53.0,3,12,Exterior
183.0,53.0,3,12,Exterior
182.0,53.0,3,12,Exterior
9.0,102.0,4,16,Exterior
9.0,101.0,4,16,Exterior
8.0,101.0,4,16,Exterior
8.0,102.0,4,16,Exterior
9.0,102.0,4,16,Exterior
10.0,105.0,5,16,Exterior
11.0,105.0,5,16,Exterior
12.0,105.0,5,16,Exterior
12.0,104.0,5,16,Exterior
11.0,104.0,5,16,Exterior
10.0,104.0,5,16,Exterior
9.0,104.0,5,16,Exterior
9.0,105.0,5,16,Exterior
10.0,105.0,5,16,Exterior
192.0,99.0,6,24,Exterior
192.0,100.0,6,24,Exterior
193.0,100.0,6,24,Exterior
193.0,101.0,6,24,Exterior
193.0,102.0,6,24,Exterior
192.0,102.0,6,24,Exterior
192.0,103.0,6,24,Exterior
192.0,104.0,6,24,Exterior
192.0,105.0,6,24,Exterior
191.0,105.0,6,24,Exterior
191.0,106.0,6,24,Exterior
191.0,107.0,6,24,Exterior
192.0,107.0,6,24,Exterior
193.0,107.0,6,24,Exterior
194.0,107.0,6,24,Exterior
195.0,107.0,6,24,Exterior
196.0,107.0,6,24,Exterior
197.0,107.0,6,24,Exterior
198.0,107.0,6,24,Exterior
198.0,108.0,6,24,Exterior
199.0,108.0,6,24,Exterior
200.0,108.0,6,24,Exterior
201.0,108.0,6,24,Exterior
202.0,108.0,6,24,Exterior
203.0,108.0,6,24,Exterior
203.0,107.0,6,24,Exterior
202.0,107.0,6,24,Exterior
202.0,106.0,6,24,Exterior
202.0,105.0,6,24,Exterior
202.0,104.0,6,24,Exterior
202.0,103.0,6,24,Exterior
203.0,103.0,6,24,Exterior
204.0,103.0,6,24,Exterior
204.0,102.0,6,24,Exterior
204.0,101.0,6,24,Exterior
203.0,101.0,6,24,Exterior
202.0,101.0,6,24,Exterior
