,name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,code,notes
0,Afghanistan,7752117.0,7840151.0,7935996.0,8039684.0,8151316.0,8270992.0,8398873.0,8535157.0,8680097.0,8833947.0,8996967.0,9169406.0,9351442.0,9543200.0,9744772.0,9956318.0,10174840.0,10399936.0,10637064.0,10893772.0,11173654.0,11475450.0,11791222.0,12108963.0,12412960.0,12689164.0,12943093.0,13171294.0,13341199.0,13411060.0,13356500.0,13171679.0,12882518.0,12537732.0,12204306.0,11938204.0,11736177.0,11604538.0,11618008.0,11868873.0,12412311.0,13299016.0,14485543.0,15816601.0,17075728.0,18110662.0,18853444.0,19357126.0,19737770.0,20170847.0,20779957.0,21606992.0,22600774.0,23680871.0,24726689.0,25654274.0,26433058.0,27100542.0,27722281.0,28394806.0,29185511.0,30117411.0,31161378.0,32269592.0,33370803.0,34413603.0,35383028.0,36296111.0,37171922.0,38041757.0,38928341.0,39835428.0,40754385.0,41681232.0,42608714.0,43531523.0,44449106.0,45363560.0,46275305.0,47185165.0,48093576.0,49000190.0,49904008.0,50803985.0,51698839.0,52587415.0,53468940.0,54342917.0,55208543.0,56065157.0,56912008.0,57748480.0,58573847.0,59387210.0,60187566.0,60974108.0,61746119.0,62503158.0,63245020.0,63971682.0,64682976.0,65378498.0,66057693.0,66720061.0,67365070.0,67992198.0,68601077.0,69191273.0,69762278.0,70313576.0,70844694.0,71355260.0,71844941.0,72313405.0,72760294.0,73185287.0,73588196.0,73968838.0,74327012.0,74662577.0,74975404.0,75265446.0,75532727.0,75777323.0,75999471.0,76199343.0,76377114.0,76532930.0,76666941.0,76779299.0,76870229.0,76940011.0,76989050.0,77017762.0,77026666.0,77016262.0,76987010.0,76939414.0,76874094.0,76791721.0,76692976.0,76578449.0,76448745.0,76304426.0,76146060.0,75974263.0,75789679.0,75593012.0,75384972.0,75166360.0,74937961.0,4,
1,Albania,1263164.0,1287499.0,1316090.0,1348113.0,1382898.0,1419991.0,1459115.0,1500180.0,1543256.0,1588506.0,1636091.0,1685926.0,1737675.0,1790571.0,1843649.0,1896175.0,1947836.0,1998743.0,2049214.0,2099738.0,2150704.0,2202186.0,2254058.0,2306284.0,2358852.0,2411733.0,2464981.0,2518685.0,2572852.0,2627506.0,2682697.0,2737018.0,2790284.0,2844867.0,2904142.0,2969671.0,3044201.0,3124892.0,3200972.0,3257913.0,3286070.0,3280397.0,3245887.0,3195196.0,3146518.0,3112923.0,3098699.0,3099747.0,3110699.0,3122700.0,3129246.0,3129701.0,3126183.0,3118017.0,3104893.0,3086810.0,3063021.0,3033993.0,3002683.0,2973044.0,2948029.0,2928601.0,2914091.0,2903788.0,2896307.0,2890524.0,2886427.0,2884169.0,2882735.0,2880913.0,2877800.0,2872934.0,2866378.0,2858418.0,2849657.0,2840468.0,2830858.0,2820624.0,2809863.0,2798631.0,2786972.0,2774952.0,2762547.0,2749560.0,2735797.0,2721086.0,2705366.0,2688717.0,2671238.0,2653084.0,2634385.0,2615173.0,2595440.0,2575257.0,2554627.0,2533639.0,2512295.0,2490632.0,2468693.0,2446493.0,2424052.0,2401400.0,2378560.0,2355549.0,2332399.0,2309096.0,2285684.0,2262165.0,2238517.0,2214760.0,2190904.0,2166920.0,2142803.0,2118547.0,2094105.0,2069445.0,2044577.0,2019457.0,1994070.0,1968346.0,1942264.0,1915811.0,1888973.0,1861740.0,1834077.0,1805978.0,1777448.0,1748512.0,1719218.0,1689607.0,1659729.0,1629629.0,1599339.0,1568934.0,1538497.0,1508106.0,1477809.0,1447635.0,1417672.0,1388013.0,1358698.0,1329787.0,1301314.0,1273239.0,1245594.0,1218356.0,1191536.0,1165114.0,1139105.0,1113510.0,1088338.0,8,
2,Algeria,8872250.0,9023263.0,9186150.0,9364381.0,9560147.0,9774280.0,10006145.0,10253777.0,10514077.0,10783228.0,11057864.0,11336336.0,11619828.0,11912800.0,12221675.0,12550880.0,12902626.0,13275020.0,13663581.0,14061724.0,14464992.0,14872253.0,15285992.0,15709831.0,16149018.0,16607705.0,17085799.0,17582899.0,18102266.0,18647801.0,19221659.0,19824297.0,20452901.0,21101875.0,21763578.0,22431507.0,23102386.0,23774287.0,24443472.0,25106192.0,25758872.0,26400468.0,27028330.0,27635517.0,28213777.0,28757788.0,29266415.0,29742980.0,30192750.0,30623406.0,31042238.0,31451513.0,31855110.0,32264159.0,32692153.0,33149720.0,33641007.0,34166976.0,34730604.0,35333882.0,35977451.0,36661438.0,37383899.0,38140135.0,38923688.0,39728020.0,40551398.0,41389174.0,42228415.0,43053054.0,43851043.0,44616626.0,45350141.0,46053477.0,46731365.0,47387621.0,48022191.0,48634169.0,49225935.0,49800522.0,50360741.0,50907942.0,51443645.0,51971122.0,52494086.0,53015571.0,53536964.0,54058978.0,54582839.0,55109593.0,55639763.0,56173697.0,56710939.0,57250034.0,57788898.0,58325559.0,58859118.0,59388436.0,59910917.0,60423435.0,60923390.0,61409486.0,61880817.0,62335701.0,62772479.0,63189911.0,63587228.0,63964302.0,64321490.0,64659573.0,64979374.0,65281189.0,65565489.0,65833448.0,66086471.0,66325952.0,66552686.0,66767565.0,66972181.0,67168311.0,67357446.0,67540496.0,67718092.0,67891131.0,68060403.0,68226588.0,68390152.0,68551325.0,68710021.0,68865976.0,69018897.0,69168643.0,69315062.0,69457751.0,69596196.0,69729849.0,69858325.0,69981057.0,70097172.0,70205645.0,70305540.0,70396142.0,70476914.0,70547366.0,70607079.0,70655551.0,70692182.0,70716263.0,70726984.0,70723454.0,70704619.0,12,
3,American Samoa,18941.0,19287.0,19546.0,19699.0,19758.0,19748.0,19712.0,19671.0,19690.0,19827.0,20127.0,20605.0,21246.0,22029.0,22850.0,23675.0,24473.0,25235.0,25980.0,26698.0,27362.0,27982.0,28564.0,29103.0,29595.0,30045.0,30455.0,30834.0,31262.0,31842.0,32648.0,33697.0,34969.0,36413.0,37946.0,39521.0,41114.0,42741.0,44346.0,45894.0,47351.0,48682.0,49900.0,51025.0,52099.0,53158.0,54209.0,55227.0,56180.0,57049.0,57816.0,58496.0,59077.0,59495.0,59684.0,59557.0,59109.0,58367.0,57490.0,56675.0,56084.0,55755.0,55669.0,55717.0,55791.0,55806.0,55739.0,55617.0,55461.0,55312.0,55197.0,55103.0,55032.0,54982.0,54930.0,54896.0,54850.0,54820.0,54793.0,54759.0,54734.0,54689.0,54651.0,54609.0,54565.0,54517.0,54463.0,54426.0,54371.0,54314.0,54262.0,54189.0,54122.0,54046.0,53988.0,53916.0,53857.0,53793.0,53732.0,53672.0,53585.0,53496.0,53390.0,53270.0,53143.0,53015.0,52881.0,52731.0,52582.0,52429.0,52249.0,52082.0,51897.0,51702.0,51492.0,51280.0,51059.0,50821.0,50577.0,50299.0,50028.0,49731.0,49423.0,49105.0,48765.0,48409.0,48030.0,47647.0,47244.0,46832.0,46394.0,45948.0,45492.0,45028.0,44541.0,44057.0,43562.0,43053.0,42550.0,42042.0,41507.0,40985.0,40464.0,39934.0,39399.0,38857.0,38322.0,37782.0,37241.0,36699.0,36156.0,16,
4,Andorra,6198.0,6693.0,7251.0,7859.0,8533.0,9231.0,9984.0,10778.0,11614.0,12495.0,13410.0,14378.0,15379.0,16407.0,17466.0,18542.0,19646.0,20760.0,21886.0,23053.0,24275.0,25571.0,26885.0,28232.0,29515.0,30705.0,31782.0,32769.0,33744.0,34825.0,36063.0,37498.0,39115.0,40854.0,42706.0,44593.0,46520.0,48459.0,50433.0,52452.0,54508.0,56666.0,58882.0,60974.0,62676.0,63860.0,64363.0,64318.0,64140.0,64367.0,65390.0,67344.0,70048.0,73180.0,76250.0,78871.0,80995.0,82682.0,83860.0,84461.0,84454.0,83748.0,82427.0,80770.0,79213.0,77993.0,77295.0,76997.0,77008.0,77146.0,77265.0,77354.0,77460.0,77576.0,77685.0,77773.0,77851.0,77887.0,77900.0,77918.0,77927.0,77948.0,77959.0,77965.0,77977.0,77974.0,77966.0,77961.0,77944.0,77909.0,77860.0,77799.0,77705.0,77599.0,77468.0,77318.0,77132.0,76923.0,76687.0,76416.0,76123.0,75792.0,75434.0,75050.0,74648.0,74207.0,73767.0,73289.0,72791.0,72296.0,71784.0,71281.0,70762.0,70242.0,69739.0,69223.0,68746.0,68267.0,67804.0,67360.0,66936.0,66536.0,66159.0,65807.0,65474.0,65172.0,64897.0,64647.0,64424.0,64223.0,64045.0,63878.0,63738.0,63620.0,63508.0,63420.0,63335.0,63256.0,63183.0,63128.0,63062.0,62993.0,62931.0,62873.0,62802.0,62743.0,62670.0,62605.0,62537.0,62481.0,62406.0,20,
5,Angola,4548021.0,4616552.0,4713160.0,4823330.0,4935956.0,5043251.0,5140910.0,5228005.0,5306538.0,5380718.0,5454938.0,5531451.0,5608499.0,5679409.0,5734995.0,5770573.0,5781305.0,5774440.0,5771973.0,5803677.0,5890360.0,6041239.0,6248965.0,6497283.0,6761623.0,7023994.0,7279630.0,7533814.0,7790774.0,8058112.0,8341290.0,8640478.0,8952971.0,9278104.0,9614756.0,9961993.0,10320116.0,10689247.0,11068051.0,11454784.0,11848385.0,12248901.0,12657361.0,13075044.0,13503753.0,13945205.0,14400722.0,14871572.0,15359600.0,15866871.0,16395476.0,16945753.0,17519418.0,18121477.0,18758138.0,19433604.0,20149905.0,20905360.0,21695636.0,22514275.0,23356247.0,24220660.0,25107925.0,26015786.0,26941773.0,27884380.0,28842482.0,29816769.0,30809787.0,31825299.0,32866267.0,33933611.0,35027340.0,36148636.0,37298625.0,38478222.0,39688094.0,40928613.0,42199937.0,43501999.0,44834707.0,46198246.0,47592554.0,49016965.0,50470553.0,51952546.0,53462491.0,55000286.0,56566038.0,58159984.0,59782166.0,61432444.0,63110182.0,64814409.0,66543950.0,68297811.0,70075424.0,71876613.0,73701207.0,75549153.0,77420355.0,79314427.0,81231007.0,83169865.0,85130854.0,87113726.0,89118045.0,91143366.0,93189506.0,95256303.0,97343443.0,99450570.0,101576923.0,103721313.0,105882258.0,108058512.0,110249146.0,112453653.0,114671818.0,116903597.0,119148755.0,121406588.0,123676077.0,125956109.0,128245394.0,130542728.0,132847445.0,135158711.0,137475005.0,139794548.0,142116013.0,144438152.0,146760684.0,149084213.0,151409881.0,153738331.0,156069171.0,158401248.0,160733332.0,163063937.0,165391670.0,167715391.0,170034234.0,172347385.0,174653998.0,176953073.0,179243367.0,181523387.0,183791386.0,186045387.0,188283132.0,24,
6,Anguilla,5122.0,5317.0,5477.0,5598.0,5705.0,5781.0,5846.0,5901.0,5939.0,5987.0,6020.0,6090.0,6141.0,6207.0,6283.0,6360.0,6434.0,6520.0,6608.0,6690.0,6773.0,6854.0,6949.0,7023.0,7101.0,7161.0,7202.0,7252.0,7285.0,7296.0,7284.0,7249.0,7194.0,7145.0,7182.0,7292.0,7512.0,7842.0,8222.0,8582.0,8894.0,9138.0,9333.0,9491.0,9661.0,9868.0,10117.0,10388.0,10684.0,10979.0,11247.0,11520.0,11756.0,11993.0,12230.0,12442.0,12660.0,12862.0,13056.0,13248.0,13436.0,13612.0,13794.0,13952.0,14114.0,14279.0,14435.0,14588.0,14738.0,14872.0,15002.0,15125.0,15225.0,15325.0,15414.0,15511.0,15596.0,15683.0,15763.0,15839.0,15917.0,15984.0,16055.0,16120.0,16177.0,16227.0,16268.0,16328.0,16364.0,16406.0,16446.0,16480.0,16497.0,16518.0,16532.0,16546.0,16546.0,16551.0,16541.0,16539.0,16522.0,16500.0,16478.0,16454.0,16423.0,16384.0,16349.0,16306.0,16264.0,16221.0,16175.0,16123.0,16071.0,16020.0,15959.0,15908.0,15852.0,15788.0,15733.0,15669.0,15599.0,15537.0,15477.0,15413.0,15341.0,15271.0,15204.0,15136.0,15064.0,14993.0,14921.0,14848.0,14780.0,14716.0,14640.0,14570.0,14507.0,14441.0,14374.0,14313.0,14253.0,14189.0,14119.0,14058.0,14006.0,13943.0,13883.0,13821.0,13763.0,13707.0,13635.0,660,Until 1985 part of Saint Kitts-Nevis-Anguilla
7,Antigua and Barbuda,45515.0,46541.0,47385.0,48135.0,48876.0,49648.0,50464.0,51360.0,52280.0,53214.0,54132.0,55005.0,55849.0,56701.0,57641.0,58699.0,59912.0,61240.0,62523.0,63553.0,64184.0,64354.0,64134.0,63649.0,63108.0,62671.0,62353.0,62162.0,62038.0,61948.0,61861.0,61789.0,61780.0,61779.0,61784.0,61785.0,61754.0,61713.0,61758.0,62007.0,62533.0,63363.0,64459.0,65777.0,67201.0,68672.0,70176.0,71707.0,73219.0,74674.0,76007.0,77212.0,78298.0,79311.0,80347.0,81462.0,82715.0,84029.0,85394.0,86743.0,88030.0,89250.0,90407.0,91510.0,92562.0,93571.0,94520.0,95425.0,96282.0,97115.0,97928.0,98728.0,99505.0,100272.0,101016.0,101719.0,102402.0,103067.0,103691.0,104302.0,104859.0,105411.0,105925.0,106408.0,106865.0,107298.0,107695.0,108093.0,108446.0,108781.0,109083.0,109367.0,109634.0,109862.0,110073.0,110276.0,110439.0,110582.0,110713.0,110819.0,110901.0,110959.0,110993.0,111018.0,111010.0,110992.0,110956.0,110907.0,110830.0,110755.0,110666.0,110564.0,110449.0,110328.0,110197.0,110063.0,109932.0,109779.0,109631.0,109466.0,109311.0,109144.0,108967.0,108789.0,108613.0,108420.0,108236.0,108028.0,107836.0,107630.0,107414.0,107198.0,106967.0,106739.0,106488.0,106238.0,105995.0,105738.0,105472.0,105206.0,104931.0,104656.0,104379.0,104095.0,103805.0,103528.0,103232.0,102936.0,102643.0,102347.0,102048.0,28,
8,Argentina,17037910.0,17390378.0,17742980.0,18094290.0,18443313.0,18789415.0,19132405.0,19472473.0,19810165.0,20146307.0,20481781.0,20817270.0,21153042.0,21488916.0,21824427.0,22159644.0,22494031.0,22828872.0,23168268.0,23517613.0,23880564.0,24259564.0,24653172.0,25056475.0,25462305.0,25865775.0,26264681.0,26661397.0,27061041.0,27471046.0,27896532.0,28338514.0,28794550.0,29262049.0,29737097.0,30216284.0,30698964.0,31184411.0,31668939.0,32148137.0,32618648.0,33079002.0,33529320.0,33970103.0,34402669.0,34828168.0,35246376.0,35657438.0,36063451.0,36467218.0,36870796.0,37275644.0,37681743.0,38087866.0,38491970.0,38892924.0,39289876.0,39684303.0,40080159.0,40482786.0,40895751.0,41320497.0,41755188.0,42196034.0,42637508.0,43075416.0,43508459.0,43937143.0,44361150.0,44780675.0,45195777.0,45605823.0,46010234.0,46409173.0,46803051.0,47192095.0,47576268.0,47955216.0,48328513.0,48695628.0,49056162.0,49409895.0,49756841.0,50097099.0,50430836.0,50758205.0,51079178.0,51393649.0,51701498.0,52002578.0,52296794.0,52584051.0,52864364.0,53137881.0,53404785.0,53665206.0,53919126.0,54166413.0,54406965.0,54640630.0,54867248.0,55086768.0,55299023.0,55503793.0,55700728.0,55889565.0,56070176.0,56242481.0,56406394.0,56561853.0,56708814.0,56847253.0,56977145.0,57098357.0,57210749.0,57314271.0,57408897.0,57494788.0,57572257.0,57641780.0,57703704.0,57758259.0,57805534.0,57845580.0,57878439.0,57904134.0,57922807.0,57934717.0,57940263.0,57939937.0,57934113.0,57923031.0,57906754.0,57885372.0,57858886.0,57827311.0,57790791.0,57749441.0,57703289.0,57652294.0,57596459.0,57535899.0,57470723.0,57401098.0,57327217.0,57249230.0,57167304.0,57081572.0,56992142.0,56899084.0,56802493.0,32,
9,Armenia,1353502.0,1381870.0,1418275.0,1461425.0,1510178.0,1563512.0,1620594.0,1680713.0,1743306.0,1807908.0,1874119.0,1941498.0,2009524.0,2077583.0,2145004.0,2211316.0,2276038.0,2339133.0,2401142.0,2462938.0,2525067.0,2587716.0,2650484.0,2712780.0,2773750.0,2832752.0,2889583.0,2944375.0,2997419.0,3049107.0,3099759.0,3148096.0,3193696.0,3238592.0,3285593.0,3335935.0,3392264.0,3451947.0,3504667.0,3536473.0,3538164.0,3505249.0,3442820.0,3363111.0,3283664.0,3217349.0,3168213.0,3133081.0,3108691.0,3089020.0,3069597.0,3050686.0,3033976.0,3017938.0,3000715.0,2981262.0,2958301.0,2932615.0,2907615.0,2888094.0,2877314.0,2876536.0,2884239.0,2897593.0,2912403.0,2925559.0,2936147.0,2944789.0,2951741.0,2957728.0,2963234.0,2968128.0,2971969.0,2974770.0,2976514.0,2977276.0,2977011.0,2975750.0,2973590.0,2970644.0,2967010.0,2962738.0,2957855.0,2952454.0,2946625.0,2940413.0,2933889.0,2927058.0,2919960.0,2912653.0,2905147.0,2897468.0,2889618.0,2881548.0,2873202.0,2864548.0,2855564.0,2846255.0,2836584.0,2826548.0,2816114.0,2805257.0,2794009.0,2782333.0,2770225.0,2757702.0,2744751.0,2731363.0,2717559.0,2703358.0,2688765.0,2673774.0,2658432.0,2642750.0,2626735.0,2610425.0,2593843.0,2576997.0,2559931.0,2542680.0,2525291.0,2507780.0,2490180.0,2472534.0,2454890.0,2437285.0,2419746.0,2402280.0,2384948.0,2367746.0,2350729.0,2333895.0,2317238.0,2300798.0,2284551.0,2268522.0,2252709.0,2237094.0,2221639.0,2206314.0,2191077.0,2175897.0,2160760.0,2145662.0,2130563.0,2115470.0,2100329.0,2085132.0,2069811.0,2054322.0,2038613.0,51,Until 1991 part of the USSR
