X,Y,PolygonID,CountryCode,BorderType
552.0,264.0,1,TUR,Exterior
552.0,256.0,1,TUR,Exterior
544.0,256.0,1,TUR,Exterior
536.0,256.0,1,TUR,Exterior
536.0,264.0,1,TUR,Exterior
528.0,264.0,1,TUR,Exterior
528.0,272.0,1,TUR,Exterior
528.0,280.0,1,TUR,Exterior
536.0,280.0,1,TUR,Exterior
544.0,280.0,1,TUR,Exterior
544.0,288.0,1,TUR,Exterior
536.0,288.0,1,TUR,Exterior
536.0,296.0,1,TUR,Exterior
544.0,296.0,1,TUR,Exterior
544.0,304.0,1,TUR,Exterior
552.0,304.0,1,TUR,Exterior
560.0,304.0,1,TUR,Exterior
568.0,304.0,1,TUR,Exterior
576.0,304.0,1,TUR,Exterior
584.0,304.0,1,TUR,Exterior
592.0,304.0,1,TUR,Exterior
600.0,304.0,1,TUR,Exterior
608.0,304.0,1,TUR,Exterior
608.0,296.0,1,TUR,Exterior
608.0,288.0,1,TUR,Exterior
608.0,280.0,1,TUR,Exterior
600.0,280.0,1,TUR,Exterior
600.0,272.0,1,TUR,Exterior
592.0,272.0,1,TUR,Exterior
584.0,272.0,1,TUR,Exterior
576.0,272.0,1,TUR,Exterior
568.0,272.0,1,TUR,Exterior
568.0,264.0,1,TUR,Exterior
560.0,264.0,1,TUR,Exterior
552.0,264.0,1,TUR,Exterior
544.0,280.0,2,TUR,Interior
544.0,272.0,2,TUR,Interior
552.0,272.0,2,TUR,Interior
552.0,280.0,2,TUR,Interior
544.0,280.0,2,TUR,Interior
568.0,320.0,3,LBN,Exterior
560.0,320.0,3,LBN,Exterior
560.0,328.0,3,LBN,Exterior
560.0,336.0,3,LBN,Exterior
568.0,336.0,3,LBN,Exterior
568.0,328.0,3,LBN,Exterior
576.0,328.0,3,LBN,Exterior
576.0,320.0,3,LBN,Exterior
568.0,320.0,3,LBN,Exterior
584.0,352.0,4,PSE,Exterior
584.0,344.0,4,PSE,Exterior
576.0,344.0,4,PSE,Exterior
576.0,352.0,4,PSE,Exterior
576.0,360.0,4,PSE,Exterior
584.0,360.0,4,PSE,Exterior
584.0,352.0,4,PSE,Exterior
560.0,344.0,5,PSE,Exterior
560.0,352.0,5,PSE,Exterior
568.0,352.0,5,PSE,Exterior
568.0,344.0,5,PSE,Exterior
560.0,344.0,5,PSE,Exterior
568.0,336.0,6,ISR,Exterior
560.0,336.0,6,ISR,Exterior
560.0,344.0,6,ISR,Exterior
568.0,344.0,6,ISR,Exterior
568.0,352.0,6,ISR,Exterior
568.0,360.0,6,ISR,Exterior
576.0,360.0,6,ISR,Exterior
576.0,352.0,6,ISR,Exterior
576.0,344.0,6,ISR,Exterior
576.0,336.0,6,ISR,Exterior
568.0,336.0,6,ISR,Exterior
576.0,304.0,7,SYR,Exterior
568.0,304.0,7,SYR,Exterior
568.0,312.0,7,SYR,Exterior
568.0,320.0,7,SYR,Exterior
576.0,320.0,7,SYR,Exterior
576.0,328.0,7,SYR,Exterior
584.0,328.0,7,SYR,Exterior
592.0,328.0,7,SYR,Exterior
592.0,320.0,7,SYR,Exterior
600.0,320.0,7,SYR,Exterior
600.0,312.0,7,SYR,Exterior
600.0,304.0,7,SYR,Exterior
592.0,304.0,7,SYR,Exterior
584.0,304.0,7,SYR,Exterior
576.0,304.0,7,SYR,Exterior
576.0,328.0,8,SYR,Exterior
568.0,328.0,8,SYR,Exterior
568.0,336.0,8,SYR,Exterior
576.0,336.0,8,SYR,Exterior
576.0,328.0,8,SYR,Exterior
584.0,328.0,9,JOR,Exterior
576.0,328.0,9,JOR,Exterior
576.0,336.0,9,JOR,Exterior
576.0,344.0,9,JOR,Exterior
584.0,344.0,9,JOR,Exterior
584.0,352.0,9,JOR,Exterior
584.0,360.0,9,JOR,Exterior
592.0,360.0,9,JOR,Exterior
592.0,352.0,9,JOR,Exterior
592.0,344.0,9,JOR,Exterior
592.0,336.0,9,JOR,Exterior
592.0,328.0,9,JOR,Exterior
584.0,328.0,9,JOR,Exterior
584.0,256.0,10,GEO,Exterior
